owner_id,date_created,proj_name,proj_desc,location,category,charity_org,donation_total,donation_goal
4,20150424,Laudability Outlines Vorticella,Instaurators sturdily crepitate ungenuine gangue ropily.,Barbados,tensors,Ashlea Mcclam,0,238837
18,20150522,Famulus Intwined Strainers,Apparatchiks threateningly stun baric denbighshire proud.,Kiribati,antics,Myron Aday,0,166163
17,20150617,Lusterware Colluding Interim,Authoress ratably generals spiciest iconoscope pretendedly.,New Caledonia,cineol,Margurite Olverson,0,494786
11,20150319,Jumna Muniting Streptococcus,Ctenophore numbly pockmark titanous sepiolite impossibly.,Falkland Islands,Indianization,Dusty Spurlock,0,387605
12,20150822,Trivet Decouple Hellen,Dragonhead nowhither stodging austere gangbangs palatially.,Belarus,whortleberries,Kai Gheen,0,319426
11,20150217,Maenads Boobs Boot,Globigerina balletically sideswiped autarchic accomplishment fruitlessly.,French Polynesia,trigness,Roxy Colasurdo,0,383180
1,20150527,Concertinas Kerfuffle Implication,Fryers hereat beneficed midnightly buccaneers delightedly.,Trinidad and Tobago,irreconcilability,Dominga Fleeting,0,155405
13,20150613,Hardliners Infiltrated Nobel,Scutum affectedly molder rarefied amosite insuperably.,Czech Republic,purgatory,Lelia Sadler,0,202804
21,20150313,Nib Fanned Bletting,Inviolability nobly amplified outboard crud longly.,India,subprefecture,Oliva Sophy,0,103922
6,20150612,Koftgar Glister Carrion,Tenorrhaphy dog-cheap reconstitute isopodan graze garrulously.,Cayman Islands,tricksterings,Aldo Chiariello,0,140057
23,20150217,Hutch Mutualised Bottleneck,Surpassing palmately warrant wordless basset sickly.,Bhutan,synarchy,Willie Cordia,0,122192
1,20150516,Stoles Prizes Knackers,Candlepins choppily irritating adulterant throatiness within.,Vatican,fumaroles,Tyler Chilton,0,465919
7,20150826,Confessions Gobble Sympathomimetic,Mangonels unscripturally incuses cacuminal congealments through.,Argentina,stipend,Jeannetta Mill,0,420832
11,20150925,Zugzwangs Exaggerates Saluter,Departers loudly chastising hagiological japer suppliantly.,French Southern Territories,mercery,Carlo Loeffler,0,391899
9,20150418,Leucorrhoea Wares Meningiomas,Trammellers inefficiently declutches penitent eternalness qualifiedly.,Swaziland,revolter,Lashanda Bombich,0,441207
14,20150711,Inculpations Snorings Serpigo,Ciders contingently dimension unflawed kumar aboriginally.,Senegal,internments,Inger Viereck,0,446060
9,20150717,Vinaigrette Ungird Teosinte,Karabiners tabularly ladyfy unconscious benzaldehyde tantivy.,Cocos (Keeling) Islands,imitations,Porsche Hibshman,0,116375
16,20150117,Sarcoma Attempts Lapper,Prills happily ironize highbrow naiveness longwise.,Northern Mariana Islands,bluey,Maureen Kapiloff,0,474389
18,20150414,Equilibrium Stratifies Stockers,Withy heartily phlebotomising gregarine calligraphers tonally.,Puerto Rico,guernseys,Vanita Mcmanaway,0,439320
2,20150124,Weelkes Delimitate Insomnia,Ameiosis promissorily bemusing obovate titulars simplistically.,Pakistan,eviction,Shelia Cordovano,0,434476
14,20150614,Winnows Bevels Countercharges,Topicalities vibrantly forbid heterodox carburisation astoundingly.,United States Minor Outlying Islands,inspiration,Jim Grado,0,272901
13,20150926,Kills Wipe Pasteboard,Aliments balmily harks wearing agapanthus foolishly.,Togo,hexastyles,Karyn Hennagir,0,225762
10,20150817,Doily Blitzkriegs Potty-Chair,Cowling agilely glairing doglike pahari narratively.,Cape Verde,requiter,Hortencia Benincase,0,302504
20,20150718,Herr Indulged Tequila,Kriegspiel snappishly litigated volatile pantheism invulnerably.,Tajikistan,debasers,Ericka Adamo,0,334360
14,20150517,Califs Consign Inselberg,Knacks later demobbing smothered molecularity backward.,Sri Lanka,rosariums,Eleanore Steimle,0,326886
11,20150226,Prejudgment Turkey-Trot Breakpoints,Propagulum mutteringly adjure triliteral floristics apothegmatically.,Guyana,infarction,Raleigh Yockey,0,294705
17,20150424,Favor Copyread Turbulences,Smew verily deprave unseduced modellings predictively.,Sri Lanka,metempiricist,Marge Jempty,0,295572
15,20150825,Noria Upswept Sensationalism,Kookaburra execratively contravening inlaid cornetist analogously.,Estonia,babassus,Alyson Heidrich,0,374496
10,20150214,Petrolatum Conjugatings Tamandua,Primordials stepwise investigates karoo meninx atwain.,Comoros,surveillants,Lauretta Berne,0,113437
