username,password,user_type,date_joined,time_last_active,address
prajogotio,prajogotio,ind,20151124,20151124 11:10:23 AM,London
chinjieh,chinjieh,ind,20150915,20151023 09:08:07 PM,Paris
nigelkong,nigelkong,ind,20120422,20151111 07:04:31 AM,Munich
sumersinha,sumersinha,ind,20130510,20151108 11:41:22 PM,St. Barbara
petermcbrian,petermcbrian,ind,20140313,20141018 05:22:34 AM,Singapore
anandha,anandha,ind,20151112,20150514 03:12:44 PM,Beijing
konghee,konghee,ind,20150614,20151112 04:32:48 AM,Moscow
stevejobs,stevejobs,ind,20150601,20151212 11:11:11 PM,Taipei
aarp,aarp,org,20110412,20151112 12:30:14 PM,Tokyo
redcross,redcross,org,20120404,20150505 12:12:12 PM,Washington
alehnegev,alehnegev,org,20130505,20150504 11:10:09 AM,Los Angeles
lapel,lapel,org,20150505,20150505 11:11:11 AM,Burma
bushfoundation,bushfoundation,org,20140101,20150203 10:12:13 PM,San Fransisco
cafod,cafod,org,20130504,20151111,Phillippines
comicrelief,comicrelief,org,20150404,20150404,Jakarta
edhi,edhi,org,20150102,20150427,Singapore
finca,finca,org,20150202,20150821,Spain
fordfoundation,fordfoundation,org,20151004,20151022,Italy
greenpeace,greenpeace,org,20151004,20151121,Bangkok
gatesfoundation,gatesfoundation,org,20151111,20151111,Netherlands
janegoodall,janegoodall,org,20151010,20151111,South Africa
thriveafrica,thriveafrica,org,20150909,20151010,Lebanon
unicef,unicef,org,20150721,20151112,Turkey
wildaid,wildaid,org,20140807,20150112,Scotland
